Date,Open,High,Low,Close,Volume,OpenInt
20140721,2.6837,2.6837,2.6837,2.6837,35000,0
20140722,2.6837,2.8328,2.6837,2.7284,468629,0
20140723,2.7582,2.7582,1.9159,1.9159,13659,0
20140724,2.05,2.9073,2.0277,2.1619,168576,0
20140725,2.2364,2.2364,2.0277,2.0351,248479,0
20140728,1.7519,2.1991,1.5208,1.5431,4732,0
20140729,2.0128,2.0128,1.8115,1.8339,29947,0
20140730,1.9382,1.9382,1.6997,1.8115,100131,0
20140731,1.7146,1.7519,1.64,1.6773,2991,0
20140801,1.6028,1.7146,1.6028,1.6028,20932,0
20140804,1.5729,1.64,1.5729,1.6028,36987,0
20140805,1.6028,1.64,1.6028,1.6028,27291,0
20140806,1.6028,1.64,1.6028,1.6028,9039,0
20140807,1.6028,1.6102,1.6028,1.6028,3508,0
20140808,1.6773,1.6773,1.5655,1.5655,12414,0
20140811,1.5655,1.64,1.5655,1.64,5129,0
20140812,1.6177,1.7146,1.5282,1.6997,483884,0
20140813,1.5282,1.64,1.5282,1.64,414636,0
20140814,1.64,1.9382,1.64,1.9382,11908,0
20140815,1.7891,1.9382,1.6624,1.9382,19104,0
20140818,1.9345,1.9382,1.5655,1.7295,315103,0
20140819,1.7966,1.968,1.7146,1.8786,187970,0
20140820,1.9382,1.9382,1.7146,1.8637,133959,0
20140821,1.8637,1.9382,1.7817,1.8115,134361,0
20140822,1.8637,1.8637,1.7891,1.7891,121398,0
20140825,1.8078,1.9009,1.7891,1.8488,97016,0
20140826,1.8637,1.8637,1.7891,1.8115,37733,0
20140827,1.983,2.0724,1.8562,2.0351,210441,0
20140828,2.0128,2.3482,2.0128,2.296,172985,0
20140829,2.3408,3.0564,2.2737,2.6613,382654,0
20140902,2.6986,2.8328,2.6837,2.6986,213544,0
20140903,2.721,2.7284,2.6464,2.6539,249524,0
20140904,2.6688,3.3546,2.6613,3.2055,367412,0
20140905,3.2801,4.5996,3.2652,4.5996,488108,0
20140908,4.6741,5.4718,4.4877,5.4568,596054,0
20140909,5.5314,6.9851,4.5623,5.1065,1455451,0
20140910,5.1065,6.8956,4.4728,5.2556,352600,0
20140911,5.2556,5.8147,4.853,5.4419,160819,0
20140912,5.3823,5.591,5.0692,5.1065,142563,0
20140915,5.0692,5.5538,5.0692,5.4792,123074,0
20140916,5.4419,5.4419,4.9201,5.1065,94826,0
20140917,5.099,5.4047,4.8828,5.2183,112994,0
20140918,5.2556,5.3972,5.0692,5.1065,73503,0
20140919,5.1065,5.2183,4.3237,4.8456,127123,0
20140922,4.8456,4.8456,4.1374,4.1374,78917,0
20140923,4.1746,4.1746,3.3173,3.3173,131555,0
20140924,3.3546,4.3237,3.3472,4.1001,84608,0
20140925,4.1187,4.6592,4.1187,4.5101,66688,0
20140926,4.5623,4.5623,4.1001,4.2865,36701,0
20140929,4.2119,4.8456,4.1001,4.7188,48092,0
20140930,4.7188,4.7188,4.4728,4.5176,38180,0
20141001,4.3312,4.6592,4.2865,4.6592,71899,0
20141002,4.5,6.24,4.5,5.99,40986,0
20141003,5.99,6.5,5.9,6,41450,0
20141006,5.75,5.9,5.51,5.59,46563,0
20141007,5.59,5.75,5.28,5.45,20140,0
20141008,5.4,5.95,5.25,5.41,48594,0
20141009,5.43,5.51,5.3,5.47,18870,0
20141010,5.34,5.4,4.68,4.8,52304,0
20141013,4.83,5.32,4.83,5.25,31849,0
20141014,5.35,5.35,4.8,5.07,14681,0
20141015,4.9,5.07,4.5,5.06,43436,0
20141016,5.02,5.5,4.9,5.37,32260,0
20141017,5.4,5.5,5.05,5.05,18882,0
20141020,5.25,5.29,4.83,4.97,18684,0
20141021,4.95,5.18,4.95,5.03,11026,0
20141022,5.05,5.3,4.86,4.87,19829,0
20141023,4.87,5,4.85,4.85,19953,0
20141024,4.85,4.87,4.65,4.79,12674,0
20141027,4.68,4.7,4.59,4.67,17244,0
20141028,4.5,4.69,4.22,4.55,33783,0
20141029,4.44,4.45,4.17,4.33,26924,0
20141030,4.25,4.38,4.1,4.11,26832,0
20141031,4.09,4.2,4.02,4.2,23530,0
20141103,4.12,4.17,4.01,4.07,18258,0
20141104,4.01,4.09,3.88,3.9,21692,0
20141105,3.6,3.8,3.42,3.5,26749,0
20141106,3.41,3.48,3.27,3.41,24624,0
20141107,3.41,3.48,3.32,3.35,55829,0
20141110,3.12,3.22,3.05,3.07,55465,0
20141111,3.06,3.84,3.06,3.62,46010,0
20141112,3.83,4.25,3.78,4.03,63354,0
20141113,3.98,4.48,3.8,3.89,29742,0
20141114,4.43,4.43,3.7,3.8,39613,0
20141117,3.7,4,3.7,3.86,28234,0
20141118,3.88,3.97,3.74,3.75,43482,0
20141119,3.71,3.79,3.64,3.71,16547,0
20141120,3.69,3.72,3.52,3.52,18897,0
20141121,3.52,3.67,3.52,3.6,16657,0
20141124,3.51,3.69,3.5,3.68,29353,0
20141125,3.68,3.75,3.53,3.73,50108,0
20141126,3.69,3.85,3.53,3.85,23893,0
20141128,3.96,4,3.85,3.9,10061,0
20141201,3.92,3.94,3.6,3.84,22418,0
20141202,3.85,3.85,3.54,3.73,31465,0
20141203,3.69,3.9,3.57,3.87,26855,0
20141204,3.75,3.87,3.63,3.8,11161,0
20141205,3.8,3.99,3.7,3.99,16996,0
20141208,4.03,4.14,3.8,3.95,40243,0
20141209,3.88,3.92,3.8,3.85,17405,0
20141210,3.8,3.92,3.59,3.6,15908,0
20141211,3.59,4,3.59,3.91,27069,0
20141212,3.89,4.07,3.89,3.9,16898,0
20141215,3.98,3.98,3.85,3.87,30028,0
20141216,3.9,3.9,3.62,3.76,21566,0
20141217,3.7,3.9,3.7,3.74,11442,0
20141218,3.73,3.84,3.65,3.72,27621,0
20141219,3.73,3.73,3.24,3.24,98859,0
20141222,3.3,3.49,3.3,3.35,35644,0
20141223,3.4,3.41,3.16,3.21,30278,0
20141224,3.2,3.3,3.13,3.22,8745,0
20141226,3.2,3.27,3.16,3.16,63881,0
20141229,3.14,3.26,3.13,3.2,37109,0
20141230,3.14,3.3,3.14,3.29,21359,0
20141231,3.24,3.27,3.05,3.24,48407,0
20150102,3.22,3.35,3.15,3.3,20634,0
20150105,3.3,3.43,3.07,3.36,57660,0
20150106,3.45,3.5,3.21,3.48,7732,0
20150107,3.54,3.64,3.34,3.58,17404,0
20150108,3.67,3.94,3.65,3.75,42868,0
20150109,3.88,4.24,3.63,4.19,44917,0
20150112,4.19,4.85,4.05,4.8,145437,0
20150113,4.74,4.8,4.36,4.65,72674,0
20150114,4.5,4.6,4.2,4.32,39078,0
20150115,4.27,4.35,4,4.12,26939,0
20150116,4,4.1,3.87,4,21592,0
20150120,3.96,4.17,3.96,4.03,17646,0
20150121,3.99,4.11,3.95,4.03,11096,0
20150122,4.08,4.19,4.04,4.09,8182,0
20150123,4.06,4.45,4.06,4.21,10462,0
20150126,4.2,4.2,4,4.07,21040,0
20150127,4.1,4.35,4.1,4.22,14475,0
20150128,4.33,4.34,4,4.02,14928,0
20150129,3.89,4.13,3.85,3.91,17270,0
20150130,3.95,4.03,3.95,3.95,6600,0
20150202,4.03,4.27,4,4.01,12331,0
20150203,4.03,4.18,3.96,4,5563,0
20150204,4.05,4.1,3.89,3.9,22679,0
20150205,3.88,3.9,3.5,3.88,147948,0
20150206,3.78,3.89,3.67,3.7,41404,0
20150209,3.67,3.7,3.55,3.65,15880,0
20150210,3.6,3.85,3.6,3.85,67897,0
20150211,3.86,3.87,3.74,3.85,4921,0
20150212,3.86,3.9,3.72,3.72,89987,0
20150213,3.77,3.89,3.77,3.85,30633,0
20150217,3.84,3.85,3.75,3.84,10116,0
20150218,3.75,3.83,3.65,3.65,33324,0
20150219,3.77,3.77,3.7,3.75,14077,0
20150220,3.69,3.74,3.65,3.72,14444,0
20150223,3.75,3.86,3.73,3.81,14478,0
20150224,3.84,4.2,3.82,3.96,43733,0
20150225,3.97,4.05,3.9,3.94,16925,0
20150226,3.8,3.99,3.8,3.95,19342,0
20150227,3.93,4.03,3.87,3.98,31853,0
20150302,4,4.34,4,4.34,75500,0
20150303,4.4,4.93,4.35,4.59,103600,0
20150304,4.67,4.73,4.2,4.41,72900,0
20150305,4.49,5,4.49,4.85,235300,0
20150306,4.9,4.99,4.69,4.76,72700,0
20150309,4.74,6.76,4.74,6.03,573300,0
20150310,6.21,6.62,5.82,5.99,303500,0
20150311,6.09,6.29,5.96,6.27,134900,0
20150312,6.29,7.3,6.28,6.93,250400,0
20150313,7.09,8.35,7.05,7.75,507800,0
20150316,8.42,8.69,7.96,8.05,411700,0
20150317,8.3,8.7,7.86,8.07,241500,0
20150318,8,8.88,7.86,8.65,349000,0
20150319,8.94,8.94,8.24,8.28,293600,0
20150320,8.38,8.58,7.63,7.88,687700,0
20150323,7.86,7.86,6.51,7.61,301300,0
20150324,7.58,7.96,7.2,7.8,156400,0
20150325,7.84,7.9,7.52,7.83,187400,0
20150326,7.84,7.84,7.25,7.65,99000,0
20150327,7.6,7.6,7.24,7.47,144300,0
20150330,7.47,7.56,7.03,7.05,127600,0
20150331,6.81,6.91,6.56,6.74,152300,0
20150401,6.9,6.9,6.18,6.22,144600,0
20150402,6.29,6.59,6.17,6.39,64900,0
20150406,6.28,6.92,6.27,6.74,103000,0
20150407,6.74,7.29,6.74,7.29,163837,0
20150408,7.29,7.69,7.15,7.62,131700,0
20150409,7.75,7.99,7.56,7.99,91480,0
20150410,8,8.35,7.85,8.27,115200,0
20150413,8.49,8.69,8.02,8.39,185000,0
20150414,8.42,8.85,8.2,8.84,142700,0
