Date,Open,High,Low,Close,Volume,OpenInt
20111216,2.26,2.36,2.25,2.36,23000,0
20111219,2.32,2.32,2.3,2.3,13402,0
20111220,2.3,2.3,2.05,2.29,23133,0
20111221,2.26,2.34,2.21,2.34,25799,0
20111222,2.31,2.31,2.29,2.3,15000,0
20111223,2.24,2.35,2.23,2.3,40007,0
20111227,2.35,2.35,2.26,2.34,30818,0
20111228,2.3,2.33,2.24,2.33,3900,0
20111229,2.35,2.35,2.25,2.29,51308,0
20111230,2.35,2.35,2.25,2.35,22540,0
20120103,2.4,2.73,2.36,2.56,70318,0
20120104,2.6,2.64,2.56,2.61,20149,0
20120105,2.61,2.62,2.54,2.57,22078,0
20120106,2.58,2.62,2.53,2.59,25408,0
20120109,2.55,2.62,2.34,2.52,23472,0
20120110,2.49,2.6,2.49,2.51,20206,0
20120111,2.6,2.73,2.6,2.6,10850,0
20120112,2.63,2.7,2.63,2.66,32000,0
20120113,2.65,2.7,2.65,2.65,25945,0
20120117,2.64,2.95,2.64,2.69,29775,0
20120118,2.7,2.79,2.65,2.79,28807,0
20120119,2.82,2.99,2.82,2.91,51848,0
20120120,3.23,3.23,2.85,3,301892,0
20120123,3.1,3.1,2.85,2.88,73469,0
20120124,2.89,2.97,2.87,2.88,80657,0
20120125,2.9,2.93,2.84,2.89,55543,0
20120126,2.89,2.92,2.88,2.91,30157,0
20120127,2.86,3.11,2.66,2.8,22452,0
20120130,2.8,2.82,2.79,2.79,12455,0
20120131,2.77,2.77,2.6,2.64,50321,0
20120201,2.65,2.7,2.56,2.66,18595,0
20120202,2.69,2.76,2.69,2.75,27724,0
20120203,2.77,2.8,2.72,2.74,32300,0
20120206,2.75,2.82,2.75,2.77,29723,0
20120207,2.79,2.97,2.79,2.95,30769,0
20120208,2.88,2.9,2.7,2.85,28423,0
20120209,2.84,2.92,2.66,2.74,29525,0
20120210,2.72,2.75,2.69,2.73,45968,0
20120213,2.76,2.87,2.73,2.85,123900,0
20120214,2.9,2.9,2.81,2.86,15800,0
20120215,2.84,2.93,2.8,2.84,21100,0
20120216,2.85,2.94,2.85,2.9,15085,0
20120217,2.94,2.94,2.91,2.94,18300,0
20120221,2.91,2.97,2.77,2.94,41736,0
20120222,2.95,2.99,2.95,2.96,29108,0
20120223,2.94,3,2.94,3,14765,0
20120224,2.99,3,2.94,2.96,17601,0
20120227,2.96,2.96,2.92,2.92,2464,0
20120228,2.92,2.97,2.91,2.93,6340,0
20120229,2.93,2.96,2.93,2.95,3100,0
20120301,2.95,3.07,2.95,2.97,41598,0
20120302,3,3.03,2.97,3.03,11518,0
20120305,3,3.02,2.96,3,12791,0
20120306,3,3,2.88,2.94,7463,0
20120307,2.93,2.95,2.93,2.95,4000,0
20120308,2.92,2.93,2.88,2.92,11255,0
20120309,2.92,3.02,2.9,2.98,12000,0
20120312,2.99,3.03,2.98,3.02,25629,0
20120313,2.98,2.98,2.79,2.9,17627,0
20120314,2.88,2.93,2.85,2.9,10237,0
20120315,2.9,2.92,2.88,2.89,8100,0
20120316,2.86,2.92,2.76,2.76,20413,0
20120319,2.78,2.82,2.75,2.8,18600,0
20120320,2.75,2.77,2.73,2.74,23800,0
20120321,2.73,2.73,2.58,2.58,50243,0
20120322,2.59,2.59,2.45,2.58,139125,0
20120323,2.58,2.71,2.5,2.63,123240,0
20120326,2.59,2.75,2.56,2.65,43235,0
20120327,2.62,2.65,2.6,2.62,11800,0
20120328,3.28,3.28,2.54,2.59,39337,0
20120329,2.6,2.62,2.59,2.62,8900,0
20120330,2.62,2.7,2.62,2.7,10000,0
20120402,2.62,2.66,2.62,2.64,7353,0
20120403,2.63,2.65,2.6,2.6,7100,0
20120404,2.59,2.59,2.55,2.55,3375,0
20120405,2.54,2.55,2.52,2.55,4688,0
20120409,2.52,2.52,2.5,2.5,11230,0
20120410,2.5,2.5,2.45,2.45,5700,0
20120411,2.5,2.52,2.49,2.49,2600,0
20120412,2.45,2.56,2.45,2.54,33711,0
20120413,2.51,2.51,2.5,2.5,14374,0
20120416,2.51,2.51,2.25,2.26,56235,0
20120417,2.35,2.45,2.35,2.45,39654,0
20120418,2.47,2.47,2.39,2.43,12105,0
20120419,2.41,2.41,2.41,2.41,10575,0
20120420,2.4,2.4,2.27,2.27,70095,0
20120423,2.21,2.24,2.16,2.16,13625,0
20120424,2.15,2.36,2.07,2.32,129351,0
20120425,2.31,2.35,2.29,2.35,29293,0
20120426,2.44,2.44,2.35,2.38,23900,0
20120427,2.37,2.37,2.31,2.34,3700,0
20120430,2.37,2.37,2.28,2.32,10913,0
20120501,2.3,2.32,2.21,2.32,10913,0
20120502,2.29,2.32,2.28,2.32,12400,0
20120503,2.3,2.32,2.28,2.28,6979,0
20120504,2.24,2.29,2.09,2.29,56965,0
20120507,2.28,2.28,2.2,2.25,14220,0
20120508,2.19,2.27,2.19,2.25,11910,0
20120509,2.22,2.29,2.2,2.29,11101,0
20120510,2.29,2.4,2.29,2.37,10553,0
20120511,2.25,2.44,2.25,2.42,37750,0
20120514,2.4,2.4,2.35,2.35,9705,0
20120515,2.35,2.36,2.3,2.3,10608,0
20120516,2.33,2.41,2.2,2.2,12469,0
20120517,2.22,2.35,2.19,2.35,10565,0
20120518,2.36,2.39,2.3,2.3,13643,0
20120521,2.28,2.29,2.28,2.29,3900,0
20120522,2.28,2.28,2.19,2.19,10350,0
20120523,2.16,2.23,2.09,2.19,12700,0
20120524,2.21,2.33,2.21,2.33,4035,0
20120525,2.28,2.28,2.16,2.23,7225,0
20120529,2.24,2.24,2.2,2.2,15000,0
20120530,2.19,2.19,2.17,2.17,2325,0
20120531,2.2,2.2,2.05,2.05,5160,0
20120601,2.01,2.1,2.01,2.08,8427,0
20120604,2.11,2.16,2.11,2.12,5669,0
20120605,2.13,2.14,2.03,2.03,9938,0
20120606,2.06,2.12,2,2.12,154921,0
20120607,2.15,2.18,2,2.18,14067,0
20120608,2.17,2.2,2.17,2.2,8557,0
20120611,2.2,2.2,2.13,2.19,7739,0
20120612,2.15,2.2,2.15,2.17,4734,0
20120613,2.19,2.2,2.14,2.14,10344,0
20120614,2.17,2.2,2.15,2.2,94369,0
20120615,2.22,2.29,2.12,2.29,11682,0
20120618,2.24,2.24,2.15,2.19,8839,0
20120619,2.19,2.26,2.19,2.26,7315,0
20120620,2.25,2.3,2.25,2.3,20547,0
20120621,2.28,2.28,2,2.12,39056,0
20120622,2.07,2.4,2.07,2.4,140370,0
20120625,2.3,2.39,2.18,2.26,6155,0
20120626,2.3,2.4,2.27,2.3,11783,0
20120627,2.27,2.27,2.15,2.15,2550,0
20120628,2.2,2.2,2.15,2.15,460,0
20120629,2.18,2.25,2.05,2.11,42602,0
20120702,2.16,2.19,2.13,2.19,6473,0
20120703,2.15,2.18,2.05,2.1,10200,0
20120705,2.1,2.13,2.1,2.13,2350,0
20120706,2.11,2.11,1.97,2.05,4005,0
20120709,2.08,2.11,2.08,2.1,600,0
20120710,2.11,2.12,2.05,2.08,53635,0
20120711,2.07,2.15,2.07,2.15,24271,0
20120712,2.15,2.15,2.09,2.15,20718,0
20120713,2.15,2.15,1.94,2.11,30465,0
20120716,2.1,2.15,2.1,2.15,1600,0
20120717,2.16,2.22,2.15,2.22,7200,0
20120718,2.18,2.21,2.15,2.17,9720,0
20120719,2.15,2.28,2.01,2.08,37991,0
20120720,2.05,2.23,2.05,2.22,6299,0
20120723,2.24,2.24,2.12,2.21,4125,0
20120724,2.18,2.21,2.17,2.18,9934,0
20120725,2.17,2.18,2.1,2.14,3730,0
20120726,2.23,2.25,2.2,2.22,14900,0
20120727,2.19,2.3,2.17,2.3,22140,0
20120730,2.27,2.27,2.18,2.23,2226,0
20120731,2.25,2.3,2.25,2.3,2123,0
20120801,2.27,2.34,2.21,2.34,8768,0
20120802,2.28,2.28,2.28,2.28,842,0
20120803,2.3,2.34,2.28,2.31,11923,0
20120806,2.34,2.34,2.25,2.25,7856,0
20120807,2.2,2.25,2,2.25,14496,0
20120808,2.24,2.24,2.17,2.2,2700,0
20120809,2.21,2.25,2.08,2.13,11719,0
20120810,2.21,2.25,2.09,2.1,6312,0
20120813,2.1,2.2,2.08,2.13,8751,0
20120814,2.15,2.2,2.03,2.1,10666,0
20120815,2.07,2.16,2.07,2.16,930,0
20120816,2.18,2.18,2.13,2.17,4507,0
20120817,2.17,2.2,2.14,2.14,6700,0
20120820,2.16,2.16,2.1,2.1,3850,0
20120821,2.12,2.21,2.12,2.16,8354,0
20120823,2.18,2.23,2.18,2.22,6580,0
20120824,2.15,2.15,2,2.15,2239,0
20120827,2.14,2.22,2.14,2.16,7354,0
20120828,2.1,2.2,2.04,2.16,3950,0
20120829,2.16,2.2,2.15,2.2,11072,0
20120830,2.15,2.15,2.15,2.15,357,0
20120831,2.17,2.18,2.13,2.15,6747,0
20120904,2.15,2.16,2.03,2.09,4200,0
20120905,2.12,2.12,2.08,2.08,1203,0
20120906,2.07,2.18,2.07,2.15,8449,0
20120907,2.13,2.13,2.1,2.1,2503,0
20120910,2.08,2.1,2.06,2.06,15012,0
20120911,2.09,2.1,2.09,2.1,3100,0
20120912,2.09,2.19,2.09,2.19,6200,0
20120913,2.2,2.2,2.14,2.16,17091,0
20120914,2.18,2.2,2.18,2.18,7575,0
20120917,2.17,2.2,2.15,2.2,7500,0
20120918,2.18,2.19,2.16,2.19,10800,0
20120919,2.16,2.16,1.96,2.1,11389,0
20120920,2.1,2.1,2.1,2.1,1950,0
20120921,2.12,2.18,2.12,2.14,913,0
20120924,2.12,2.17,2.12,2.16,2402,0
20120925,2.16,2.16,2.04,2.11,17558,0
20120926,2.08,2.08,2.07,2.07,1200,0
20120927,2.04,2.1,2.02,2.1,9614,0
20120928,2.02,2.13,2.02,2.12,13900,0
20121001,2.14,2.14,2.08,2.08,8500,0
20121002,2.1,2.12,1.86,2.12,18900,0
20121003,2.11,2.11,2.09,2.09,4100,0
20121004,2.09,2.09,2,2.08,21500,0
20121005,2.07,2.11,2.07,2.1,5200,0
20121008,2.12,2.17,2.11,2.17,7350,0
20121009,2.19,2.21,2.17,2.2,10710,0
20121010,2.22,2.25,2.19,2.25,18680,0
20121011,2.27,2.27,2.2,2.25,6696,0
